Source;Target;Weight
beautify;earth;1.0
beautify;evil;1.0
beautify;eye;1.0
beautify;god;1.0
beautify;hand;1.0
beautify;heaven;1.0
beautify;injustice;1.0
beautify;journey;1.0
beautify;justice;1.0
beautify;knowledge;1.0
beautify;life;1.0
beautify;live;1.0
beautify;lot;1.0
beautify;man;1.0
beautify;men;1.0
beautify;mind;1.0
beautify;nature;1.0
beautify;number;1.0
beautify;other;1.0
beautify;principle;1.0
beautify;qualities;1.0
beautify;reason;1.0
beautify;sort;1.0
beautify;soul;1.0
beautify;spirit;1.0
beautify;state;1.0
beautify;thing;1.0
beautify;time;1.0
beautify;truth;1.0
beautify;tyrant;1.0
beautify;virtue;1.0
beautify;way;1.0
beautify;world;1.0
beautify;year;1.0
birth;birth;1.0
birth;cubes;1.0
birth;number;1.0
birth;side;1.0
birth;soul;1.0
birth;square;1.0
birth;time;1.0
bodily;bodily;1.0
bodily;evil;1.0
bodily;life;1.0
bodily;lot;1.0
bodily;man;1.0
bodily;nature;1.0
bodily;other;1.0
bodily;soul;1.0
bodily;state;1.0
bodily;thing;1.0
case;case;1.0
case;evil;1.0
case;friend;1.0
case;god;1.0
case;injustice;1.0
case;justice;1.0
case;life;1.0
case;man;1.0
case;men;1.0
case;nature;1.0
case;north;1.0
case;other;1.0
case;power;1.0
case;sort;1.0
case;soul;1.0
case;state;1.0
case;thing;1.0
case;time;1.0
case;way;1.0
case;word;1.0
character;anything;1.0
character;art;1.0
character;bodily;1.0
character;character;1.0
character;citing;1.0
character;citizen;1.0
character;class;1.0
character;constitutes;1.0
character;eye;1.0
character;form;1.0
character;gold;1.0
character;govern;1.0
character;guardian;1.0
character;hand;1.0
character;happily;1.0
character;husbandman;1.0
character;individual;1.0
character;injustice;1.0
character;justice;1.0
character;kind;1.0
character;law;1.0
character;life;1.0
character;man;1.0
character;men;1.0
character;nature;1.0
character;number;1.0
character;one;1.0
character;order;1.0
character;other;1.0
character;part;1.0
character;potter;1.0
character;power;1.0
character;principle;1.0
character;protect;1.0
character;purport;1.0
character;question;1.0
character;reason;1.0
character;ruler;1.0
character;sort;1.0
character;soul;1.0
character;state;1.0
character;thing;1.0
character;time;1.0
character;truth;1.0
character;view;1.0
character;virtue;1.0
character;way;1.0
character;whole;1.0
character;work;1.0
choice;bodily;1.0
choice;choice;1.0
choice;evil;1.0
choice;justice;1.0
choice;life;1.0
choice;lot;1.0
choice;man;1.0
choice;nature;1.0
choice;other;1.0
choice;soul;1.0
choice;state;1.0
choice;thing;1.0
choice;time;1.0
circle;circle;1.0
circle;light;1.0
circle;spindle;1.0
circle;whorl;1.0
citing;citing;1.0
citing;citizen;1.0
citing;class;1.0
citing;guardian;1.0
citing;happily;1.0
citing;individual;1.0
citing;injustice;1.0
