Source;Target;Weight
world;thing;0.23770491803278687
knowledge;thing;0.2375
term;Gutenberg-tm;0.2358974358974359
power;justice;0.2345679012345679
injustice;justice;0.23308957952468007
Gutenberg;work;0.2315270935960591
son;god;0.2289156626506024
hand;soul;0.22794117647058823
virtue;life;0.22777777777777777
whorl;circle;0.2222222222222222
hand;time;0.22058823529411764
art;interest;0.2204724409448819
son;man;0.21686746987951808
hand;justice;0.21323529411764705
Gutenberg;Gutenberg-tm;0.20689655172413793
virtue;state;0.20555555555555555
knowledge;nature;0.2
protect;work;0.199207135777998
virtue;man;0.19444444444444445
virtue;soul;0.19444444444444445
sort;state;0.19434628975265017
knowledge;kind;0.19375
evil;soul;0.19090909090909092
ruler;subject;0.18875502008032127
knowledge;truth;0.1875
bodily;state;0.18579234972677597
power;state;0.18518518518518517
class;happily;0.18404907975460122
work;protect;0.1838975297346752
knowledge;man;0.18125
virtue;justice;0.17777777777777778
found;Gutenberg-tm;0.1724137931034483
found;work;0.1724137931034483
protect;Gutenberg-tm;0.17145688800792863
interest;art;0.1712538226299694
power;man;0.16872427983539096
guardian;happily;0.16806722689075632
power;injustice;0.1646090534979424
bodily;thing;0.16393442622950818
Gutenberg;found;0.1625615763546798
way;state;0.1596330275229358
bodily;man;0.15846994535519127
art;medicine;0.15748031496062992
evil;life;0.15
number;square;0.15
term;number;0.14871794871794872
sort;life;0.14840989399293286
work;Gutenberg-tm;0.14821591948764867
happily;class;0.1477832512315271
sort;man;0.14487632508833923
other;man;0.1437908496732026
art;state;0.14173228346456693
sort;soul;0.1413427561837456
interest;injustice;0.14067278287461774
god;men;0.13991769547325103
art;man;0.1377952755905512
ruler;interest;0.13654618473895583
number;time;0.1357142857142857
justice;injustice;0.13571048430015967
other;soul;0.13507625272331156
other;state;0.13071895424836602
other;life;0.12854030501089325
sort;justice;0.127208480565371
found;Gutenberg;0.12643678160919541
sort;injustice;0.12367491166077739
power;men;0.12345679012345678
power;number;0.12345679012345678
nature;man;0.12222222222222222
nature;justice;0.12083333333333333
ruler;man;0.12048192771084337
sort;thing;0.12014134275618374
time;soul;0.11812627291242363
ruler;shepherd;0.11646586345381527
interest;subject;0.1162079510703364
time;number;0.11608961303462322
god;poet;0.11522633744855967
found;Archive;0.11494252873563218
found;literary;0.11494252873563218
way;thing;0.11376146788990826
life;soul;0.11363636363636363
guardian;class;0.11204481792717087
lot;choice;0.11046511627906977
lot;evil;0.11046511627906977
way;man;0.11009174311926606
nature;soul;0.10972222222222222
nature;state;0.10972222222222222
god;man;0.10905349794238683
injustice;man;0.10877513711151737
number;cubes;0.10714285714285714
interest;man;0.10703363914373089
time;man;0.10590631364562118
lot;man;0.10465116279069768
way;life;0.10458715596330276
evil;man;0.10454545454545454
interest;ruler;0.10397553516819572
time;thing;0.10386965376782077
time;life;0.10183299389002037
nature;men;0.10138888888888889
guardian;citizen;0.10084033613445378
god;justice;0.10082304526748971
god;life;0.10082304526748971
men;state;0.10062893081761007
other;justice;0.10021786492374728
other;men;0.09803921568627451
other;time;0.09803921568627451
men;justice;0.09748427672955975
nature;life;0.09583333333333334
number;side;0.09523809523809523
thing;state;0.09468822170900693
soul;life;0.0926906779661017
way;soul;0.09174311926605505
time;other;0.09164969450101833
other;injustice;0.0915032679738562
men;man;0.09119496855345911
evil;injustice;0.09090909090909091
number;birth;0.09047619047619047
number;soul;0.09047619047619047
way;men;0.08990825688073395
thing;man;0.08775981524249422
god;thing;0.08641975308641975
evil;lot;0.08636363636363636
way;justice;0.08623853211009175
men;life;0.0859538784067086
nature;injustice;0.08472222222222223
evil;justice;0.08409090909090909
guardian;way;0.08403361344537816
evil;nature;0.08181818181818182
life;man;0.08181818181818182
protect;Gutenberg;0.0802775024777007
god;injustice;0.08024691358024691
time;men;0.07942973523421588
Gutenberg-tm;term;0.07931034482758621
number;state;0.07857142857142857
god;son;0.07818930041152264
Gutenberg-tm;found;0.07758620689655173
time;state;0.07739307535641547
protect;found;0.07730426164519326
men;nature;0.07651991614255765
work;state;0.07593778591033852
evil;men;0.075
other;thing;0.07407407407407407
thing;soul;0.07390300230946882
men;injustice;0.07337526205450734
time;way;0.07331975560081466
Gutenberg-tm;Gutenberg;0.07241379310344828
thing;way;0.07159353348729793
number;power;0.07142857142857142
time;earth;0.07128309572301425
men;god;0.07127882599580712
justice;man;0.07025013304949441
man;justice;0.06907378335949764
number;term;0.06904761904761905
Gutenberg-tm;agreement;0.06896551724137931
evil;state;0.06818181818181818
evil;thing;0.06818181818181818
way;time;0.06605504587155964
man;life;0.06593406593406594
life;lot;0.06558441558441558
way;injustice;0.06422018348623854
injustice;men;0.06398537477148081
work;term;0.06312900274473925
thing;life;0.06235565819861432
thing;men;0.06235565819861432
man;injustice;0.06227106227106227
time;hand;0.06109979633401222
life;state;0.06103896103896104
god;soul;0.059670781893004114
thing;time;0.05889145496535797
way;nature;0.05871559633027523
nature;thing;0.05694444444444444
men;thing;0.05660377358490566
injustice;nature;0.055758683729433274
